GFPipeID,PipeName,GFLocID,GF_LocID_Tag,LocID,Loc,GF_LocName,LocName,GF_FacilityType,GF_FacilityTypeGroup,ReportedFacilityType,LocSegment,LocZone,State,County,InterconnectingEntity,UpdatedTime
120,"Texas Eastern Transmission, LP",1200071436,"",0071436,71436,"","Cleco Energy - Chireno #2, TX  (Delivery)","","",LDC,"",ETX,TX,NACOGDOCHES,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070119,"",0070119,70119,"","Chambersburg, PA","","",LDC,"",3,PA,FRANKLIN,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000059,"",0000059,00059,"","MONTVILLE (NEW LONDON,CT)","","",LDC,"","",CT,NEW LONDON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070249,"",0070249,70249,"","Transco - Skippack, PA - REC","","",INT,"",3,PA,MONTGOMERY,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070877,"",0070877,70877,"",CONSOL. EDISON - (THRU 70058),"","",LDC,"",3,NY,RICHMOND,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000032,"",0000032,00032,"","National Grid-WALTHAM (MIDDLESEX,MA)","","",LDC,"","",MA,MIDDLESEX,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073902,"",0073902,73902,"",Gas Utilities District #1 Spillman Delivery State Hwy 421;W.Felici,"","",LDC,"",ELA,LA,WEST FELICIANA,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200074200,"",0074200,74200,"","Momentum Kensington / Highway 644, Columbiana Co., OH","","",WHD,"",2,OH,COLUMBIANA,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200079504,"",0079504,79504,"",ELA SERVICE POINT,"","",PPT,"",ELA,MS,ATTALA,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073212,"",0073212,73212,"","PECO - EAGLE, CHESTER CO., PA. (del)","","",LDC,"",3,PA,CHESTER,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070582,"",0070582,70582,"","Midwest Nat. - Brownstown, IN","","",LDC,"",2,IN,JACKSON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200079595,"",0079595,79595,"","MARKET ZONE 1 24"" DOWNSTREAM POINT","","",STA,"",1,IL,ANDERSON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073912,"",0073912,73912,"","BIG Angleton Delivery, Brazoria Co., TX","","",INT,"",STX,TX,BRAZORIA,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000826,"",0000826,00826,"","Mystic (MIDDLESEX,MA)","","",LDC,"","",MA,MIDDLESEX,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200079991,"",0079991,79991,"","NEXUS FUEL-NEXUS INTERCONNECT WITH TETLP, MONROE CO., OH","","","","","","","","",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073546,"",0073546,73546,"","Sheridan Holding Company III,LLC-Shelby Gathering-Shelby Co., TX","","",WHD,"",ETX,TX,SHELBY,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200079561,"",0079561,79561,"",SS/X-28 STORAGE POINT (MAINLINE),"","",STR,"",2,PA,WESTMORELAND,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073600,"",0073600,73600,"",Fortune Resources LLC/TARANTULA GATHERING,"","",WHD,"",ETX,TX,SHELBY,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000012,"",0000012,00012,"","Rhode Island Energy - WARREN (BRISTOL,RI)","","",LDC,"","",RI,BRISTOL,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000072,"",0000072,00072,"","Portland (MIDDLESEX,CT)","","",LDC,"","",CT,MIDDLESEX,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000001215,"",0001215,01215,"","Salem Essex Co., MA North (ESSEX,MA)","","",INT,"","",MA,ESSEX,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073107,"",0073107,73107,"","Horton Hwy Dist #2 - Maury, TN","","",LDC,"",1,TN,MAURY,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073449,"",0073449,73449,"","Atlas America-Fayette, CO., PA - (73449)","","",WHD,"",2,PA,FAYETTE,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000814,"",0000814,00814,"","ANP BELLINGHAM ENERGY COMPANY (NORFOLK,MA)","","",END,"","",MA,NORFOLK,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073617,"",0073617,73617,"",Kinder Morgan Tejas- Nueces Bay,"","",LDC,"",STX,TX,SAN PATRICIO,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070089,"",0070089,70089,"","Consumers Gas Co. - Carmi, IL","","",LDC,"",1,IL,WHITE,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073350,"",0073350,73350,"",CANTON MUNICIPAL UTILITIES,"","",LDC,"",ELA,MS,MADISON,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000081,"",0000081,00081,"","National Grid-POTTER St. (NORFOLK,MA)","","",LDC,"","",MA,NORFOLK,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070036,"",0070036,70036,"","PECO Energy - West Conshohocken, PA","","",LDC,"",3,PA,MONTGOMERY,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073812,"",0073812,73812,"","Markwest Utica Seneca  Monroe Co., OH","","",WHD,"",2,OH,MONROE,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070011,"",0070011,70011,"","Columbia Gas of  PA.  - Eagle, PA","","",INT,"",3,PA,CHESTER,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200074128,"",0074128,74128,"","MR 128 UPGRADE (PUBLIC SERVICE - LINDEN, NJ) DEL","","",LDC,"",3,NJ,UNION,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073417,"",0073417,73417,"","Copano Processing - Houston Central / Colorado Co., TX (REC)","","",PLT,"",STX,TX,COLORADO,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200072874,"",0072874,72874,"","St. Joseph - Lawrence Co., TN","","",LDC,"",1,TN,LAWRENCE,"",2026-03-23T09:41:40.296409
