Loc,Loc Name,Loc St Abbrev,Loc Cnty,Loc Zone,Dir Flo,Loc Type Ind,PipeCode,GFPipeID,PipeName,GFLocID
73546,"SHERIDAN HOLDING COMPANY III,LLC-SHELBY GATHERING-SHELBY CO., TX",TX,SHELBY,ETX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073546
M0025,MC 989 VITO-BUY BACK,OF,WEST DELTA 143,,D,END,MCGP,109,"Mississippi Canyon Gas Pipeline, LLC",10900M0025
70449,"PUBLIC SERVICE - CENTRAL WORKS, NJ",NJ,MIDDLESEX,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070449
96108,TECO WILDWOOD,FL,SUMTER,,D,INT,STT,119,"Sabal Trail Transmission, LLC",1190096108
59107,TENNESSEE EASTMAN 2,TN,WASHINGTON,,D,END,ETNG,105,"East Tennessee Natural Gas, LLC",1050059107
83109,SG RESOURCES MISSISSIPPI L.L.C. (REC - 83009),MS,GREENE,,D,INT,SESH,116,"Southeast Supply Header, LLC",1160083109
74200,"MOMENTUM KENSINGTON / HIGHWAY 644, COLUMBIANA CO., OH",OH,COLUMBIANA,2,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200074200
70441,"GRAYVILLE, IL",IL,WHITE,1,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070441
79594,ELA DOWNSTREAM POINT,LA,ST LANDRY,ELA,D,STA,TE,120,"Texas Eastern Transmission, LP",1200079594
70316,"HARTSVILLE GAS - TROUSDALE, TN",TN,TROUSDALE,1,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070316
79546,M1/M2 24  ZONE BOUNDARY POINT,IL,WHITE,ZB,B,STA,TE,120,"Texas Eastern Transmission, LP",1200079546
79975,UNIONTOWN WEST,PA,FAYETTE,2,R,STA,TE,120,"Texas Eastern Transmission, LP",1200079975
G0002,GB-783 MAGNOLIA (992103),OF,GARDEN BANKS,,R,GTH,GB,106,"Garden Banks Gas Pipeline, LLC",10600G0002
73180,"BLUESTONE - HIDALGO CO., TX",TX,HIDALGO,STX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073180
76025,"ATMOS ENERGY, TN (B/D 73025)",TN,WILLIAMSON,1,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200076025
75506,COLUMBIA GULF- ADAIR CO. KY (D73806/R73506),KY,ADAIR,2,B,INT,TE,120,"Texas Eastern Transmission, LP",1200075506
96107,CITY OF LEESBURG,FL,SUMTER,,D,END,STT,119,"Sabal Trail Transmission, LLC",1190096107
73573,GIBRALTER ENERGY COMPANY/BLACK WARRIOR,MS,CLAY,1,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073573
00005,"WILLIMANTIC (NEW HAVEN, CT)",CT,WINDHAM,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000005
79502,ETX SERVICE POINT,TX,SAN JACINTO,ETX,R,PPT,TE,120,"Texas Eastern Transmission, LP",1200079502
N4IL6,(DTE) M2 DTE ILT FROM M1 DTE ILT,MI,OAKLAND,M2,R,STA,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4IL6
83107,TRANSCO COLLINS (REC - 83007),MS,COVINGTON,,D,INT,SESH,116,"Southeast Supply Header, LLC",1160083107
73594,ENERGY XXI - MP 107,OF,MAIN PASS,ELA,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073594
72936,"CHANDELEUR PIPE LINE CO. (CANTIUM, LLC) - MP 41L",OF,MAIN PASS,ELA,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200072936
71888,"HENRY MILLER #1-ACCIDENT, MD",MD,GARRETT,2,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200071888
51009,HARTSVILLE AUCTION POINT,TN,TROUSDALE,,R,STA,ETNG,105,"East Tennessee Natural Gas, LLC",1050051009
70525,"TEXAS GAS TRANSMISSION - EUNICE, LA-DEL (B/D76525)",LA,EVANGELINE,WLA,D,INT,TE,120,"Texas Eastern Transmission, LP",1200070525
59144,SEVIER SEYMOUR,TN,SEVIER,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059144
59090,OLIN,TN,BRADLEY,,D,END,ETNG,105,"East Tennessee Natural Gas, LLC",1050059090
